organization number,orgnum of the chain,orgnum of rented property's owner
973456717,,
973456873,,960510542
973456989,878620852,925335894
973457179,,918934774
973457187,,
973457225,,
973457284,,998315077
973457292,,974778882
973457322,,
973457365,,890022162
973457403,,
973457462,,
973457497,,
973457675,,
973457918,,985080631
973457969,,971319178
973458116,,971179929
973458124,,894007532
973458140,,
973458183,,
973458396,,980697177
973458507,,973458507
973458515,,976992032
973458566,,
973458752,,975571807
973458779,,
973458809,,
973458841,878620852,988846988
973458868,,
973458906,,994871676
973459015,,
973459023,,964980543
973459317,,
973459368,,
973459414,,
973459422,,
973459546,,
973459562,,
973459589,,993336181
973459597,,
973459627,,
973459724,,
973459767,,
973459813,,
973459872,,
973461168,,971261633
973461222,,
973461370,,
973461389,,937052766
973461451,,918400184
973461524,,
973461575,,
973461672,,
973461729,,
973461745,,
973461788,,
973461958,,
973461982,,940101808
973462008,,
973462083,,
973463500,878620852,925335894
973464809,,
973464841,,
973464906,,
973464922,,871271712
973464957,,
973464973,,
973464981,,984179782
973465007,,
973465244,,928043533
973465279,,
973465295,,
973465309,,
973465317,,
973465333,878620852,925335894
973465384,,
973465406,,
973465414,993314862,971484454
973465481,,944073310
973465597,,998565359
973465716,,
973465724,,
973466399,,
973466801,,
973468936,,
973469010,,
973469096,881949482,
973469150,,971478195
973469207,,976986393
973469258,,925565032
973469274,,913330617
973469320,,941069991
973469517,,
973469584,991926577,
973469630,,
973469665,,992654007
973469703,878620852,925335894
973469754,,
973469762,,913000625
973469770,,
973469789,,985689377
973469797,971486791,
973469800,,
973469819,,976662156
973469827,,
973469924,,
973469932,,
973469940,878620852,977151503
973469959,,
973469975,,971493453
973469983,,
973470000,,
973470035,,
973470078,,
973470086,,
973470094,878620852,925335894
973470116,,
973470124,,
973470140,,
973470159,,989636278
973470167,,964982953
973470175,,
973470205,,964965781
973470264,920215335,954838161
973470280,,
973470337,,975370097
973470345,,
973470426,986554270,999244564
973470434,,940101808
973470531,878620852,
973470590,,
973470612,,957145833
973470639,,
973470655,,985080747
973470868,,964527490
973471023,991926577,915165974
